"1","MALLO","CALLE 24 NRO.381","(02272)-420259","5225"
"2","ALFA CORRAL","AV. CORDOBA 3902","4862-2180/4866-5000/0000","1057"
"3","BROCCA DENTAL","TTE.GRAL.J.D.PERON 4101","4116-0500 // 4861-3580","2"
"4","FARADAY","BME. MITRE 3501","4865-3185/4867-0202","8559"
"5","FARMACONECTA","CABRERA 3931","15-2120-3300/3333","14360"
"6","GRAN FARMACIA GALLO","AV. CORDOBA 3199","4961-4917/4962-5949","3005"
"7","DEL MERCADO SPINETTO","ALSINA 2302","4954-3517","800"
"8","FARMAR I","AV. CALLAO 321","4371-2421 / 4371-4015","10475"
"9","RIVADAVIA 2463","AV. RIVADAVIA 2463","4951-4479/4953-4504","150"
"10","SALUS","AV. CORRIENTES 1880","4371-5405","10698"
"11","MANCINI","AV. MONTES DE OCA 1229","4301-1449/4302-5255/5207","223"
"12","PIEDRAS 1960","PIEDRAS 1960","4307-3021","727"
"13","REP. DE BARRACAS","AV. MONTES DE OCA 1800","4301-2310","1093"
"14","DANESA","AV. CABILDO 2171","4787-3100","45"
"15","LA DANESA","AV. CRAMER 1963","4783-0321","13210"
"16","ORIEN SUC. DAFLO","BLANCO ESCALADA 1609","5353-0030","3643"
"17","SALVATORI","JURAMENTO 2013","4784-1186/9025/4783-1186","1349"
"18","TKL GALESA","AV. CABILDO 1631","4783-5210","5527"
"19","LA EUROPEA","CARLOS CALVO 3601","4931-3268  4930-0018/0019","1179"
"20","SUIZA SAN JUAN","AV. BOEDO 937","4931-1458","1406"
"21","ACOYTE","ACOYTE 435","4904-0114","3664"
"22","TKL NUEVA GONZALEZ","AV. RIVADAVIA 5415","4902-3333","1163"
"23","RP.BOTICA DE JULIAN","CARLOS PELLEGRINI 423","4322-2888/4322-6501/1827","997"
"24","RP.SCANNAPIECO","ESMERALDA 599","4393-9833/4322-3700","1169"
"25","RP.WENT","AV. CORRIENTES 901","4322-2888/0258/0905/1001","1431"
"26","SOY MAGA","AV.DE MAYO 892","4343-0577 / 4343-0566","5536"
"27","FARADAY LACROZE","ESTACION LACROZE F.C.GRAL URQ.","4553-6100","4867"
"28","SOY ZEUS","AV. CABILDO 810","4772-0321/4777-4814","4055"
"29","TKL ETCHEVERRY","AV. CALLAO 299","4371-4844/5626","1886"
"30","NUEVA ERA","AV. CASEROS 999","4307-4119/1886 4300-6522","1061"
"31","SOY SAINT ETIENNE","AV. RIVADAVIA 7209","4611-5817/3993 4613-8250","4054"
"32","SOY VITAL","AV. RIVADAVIA 6799","4632-0389/6930/9006","4062"
"33","ALMIRANTE BROWN 900","AV. BROWN 900","4362-8094/6089-0678","159"
"34","NECOCHEA","NECOCHEA 635","4361-4397/4300-4525","1259"
"35","TKL GRAN LINIERS","AV. RIVADAVIA 11552","4641-0055/4642-3678/4644-1250","9898"
"36","ROMY","AV. J.B. ALBERDI 7461","4686-5731/5003/4687-0606/1335","251"
"37","SOY CALLAO","AV ENTRE RIOS 799","2153-1210/4381-2550","13150"
"38","SOY OBRAS","AV. DEL LIBERTADOR 7446","4702-6017/4702-1588","354"
"39","MARINA","AV. LA PLATA 2501","4923-3984/4921-2657","1059"
"40","FARMASERV.SALGUERO","J.SALGUERO 3297-PASEO ALCORTA","5777-6739","11236"
"41","GUEMES 3787","GUEMES 3787","4823-9680","11080"
"42","OPENFARMA GRAN RURAL","AV. SANTA FE 4228","4774-4171 4775-4446/9727","984"
"43","LA CENTRAL","AV. SAN MARTIN 2802","4581-6393","5617"
"44","DIRECTORIO 4701","DIRECTORIO 4701","4682-3920/21","8953"
"45","LA RECOVA","AV. DEL LIBERTADOR 810","4811-1180","1329"
"46","SOY ARTESANAL","AV. SANTA FE 2249","4821-1164/0919","7757"
"47","SOY FRANCO ALEMANA","AV. PUEYRREDON 1598","4821-1116/7/4824-0303","4034"
